Subject	Run	TrialNum 	 CueOnset 	 TargetOnset 	 ResponseTime 	 TargetStream 	 StimCat 	 Correct 	 ResponseChar 	 CueType 	 NumSeed/StartSide 	 Context
2	2	12	112.0070549	112.2570457	1.528322397	2	1	1	54	1	0	0
2	2	13	120.0070377	120.2570394	1.269295508	1	1	1	54	2	0	0
2	2	14	130.0070248	130.2570252	1.058047873	2	2	1	49	2	0	0
2	2	15	140.0070003	140.2570104	0.871811753	2	1	1	54	1	0	0
2	2	16	148.0070048	148.2570044	1.410618001	2	1	0	49	1	0	0
2	2	17	156.0069967	156.256992	1.364481812	1	2	1	49	2	0	0
2	2	18	166.0069855	166.2570083	1.37621811	1	1	1	54	1	0	0
2	2	19	176.0069743	176.2569724	0	1	2	0	0	1	0	0
2	2	20	186.0069466	186.2569534	0.971995771	2	2	1	49	2	0	0
2	2	21	194.0069632	194.2569485	0.913835001	1	2	1	49	2	0	3
2	2	22	202.0069411	202.2569407	0.882545248	2	2	1	49	2	0	0
2	2	23	212.0069327	212.2569289	1.187407364	2	1	1	54	1	0	0
2	2	24	222.0069185	222.2569114	1.044275479	1	2	1	49	2	0	0
2	2	25	232.0069091	232.2569048	0.864957856	2	1	1	54	2	0	0
2	2	26	242.0069061	242.2568897	1.142730402	1	2	1	49	2	0	0
2	2	27	250.0068895	250.2568873	1.170644976	1	1	1	54	1	0	0
2	2	28	260.0068832	260.2568676	0.862387155	2	1	1	54	2	0	0
2	2	29	270.0068672	270.2568604	1.143317835	2	2	1	49	1	0	0
2	2	30	278.0068675	278.2568583	0	1	2	0	0	2	0	0
2	2	31	286.0068364	286.2568402	1.567990174	2	1	1	54	2	0	0
2	2	32	296.006846	296.2568266	1.440842161	1	1	0	49	2	0	0
2	2	33	304.0068361	304.2568513	0.964446071	2	1	1	54	2	0	0
2	2	34	312.0068177	312.256816	1.088398214	1	2	1	49	2	0	0
2	2	35	320.0068074	320.2568054	0.851240101	1	1	1	54	1	0	0
2	2	36	330.0068047	330.2567916	0.000190176	2	1	0	49	2	0	0
2	2	37	340.0067996	340.2567837	0.951778512	1	2	1	49	2	0	0
2	2	38	348.0067793	348.2567768	0.82877393	2	1	1	54	2	0	0
2	2	39	358.0067712	358.2567662	1.022508131	2	2	0	54	1	0	0
2	2	40	366.0067555	366.2567556	0	1	2	0	0	2	0	0
2	2	41	376.0067383	376.2567393	0.863242345	1	2	1	49	1	0	2
2	2	42	386.0067307	386.2567291	0	1	2	0	0	1	0	0
2	2	43	396.0067087	396.2567185	0	2	1	0	0	2	0	0
2	2	44	404.006706	404.2567098	0.866400782	2	2	1	49	1	0	0
2	2	45	414.0067135	414.2567064	1.267324315	1	1	1	54	2	0	0
2	2	46	424.0066915	424.2566805	0.862273049	1	2	1	49	1	0	0
2	2	47	432.006683	432.256682	1.252100242	1	1	1	54	1	0	0
2	2	48	440.0066622	440.256675	1.114905784	1	1	1	54	1	0	0
2	2	49	448.0066613	448.256659	0	1	2	0	0	1	0	0
2	2	50	458.0066477	458.2566446	1.392585656	1	2	1	49	1	0	0
2	2	51	466.006642	466.2566421	1.367285253	2	1	1	54	2	0	0
2	2	52	474.0066338	474.2566331	0.888221259	2	1	1	54	1	0	0
2	2	53	484.006619	484.2566237	0.709061513	2	1	1	54	1	0	0
2	2	54	492.0066423	492.2566132	0	2	2	0	0	1	0	0
2	2	55	500.0066	500.2565978	1.135619918	1	1	1	54	2	0	0
2	2	56	510.0065943	510.2565902	0	1	1	0	0	1	0	0
2	2	57	520.0065644	520.2565787	1.201314692	2	2	1	49	2	0	0
2	2	58	530.0065729	530.2565585	1.137154309	2	1	1	54	1	0	0
2	2	59	538.0065644	538.256564	0.948887529	2	2	1	49	1	0	0
2	2	60	546.0065554	546.2565501	0	2	2	0	0	1	0	0
2	3	1	13.99378817	14.24379949	1.024634182	1	1	1	54	2	2114913000	1
2	3	2	21.99378817	22.24378863	1.451487511	1	1	1	54	1	21	0
2	3	3	29.99378908	30.24377504	1.026296867	1	1	1	54	1	2	0
2	3	4	37.99377731	38.24377716	1.399048937	2	2	1	49	2	1	0
2	3	5	47.99374863	48.24377414	0	2	1	0	0	1	3	0
2	3	6	55.99374923	56.24374938	1.027679721	2	1	1	54	1	0	0
2	3	7	65.9937438	66.24373218	1.056389716	1	2	1	49	2	0	0
2	3	8	75.99371754	76.24373459	1.672250306	2	1	1	54	2	0	0
2	3	9	83.9937109	84.24372856	0	1	1	0	0	2	0	0
2	3	10	93.99369188	94.24368871	1.433931815	1	2	1	49	1	0	0
2	3	11	103.9937003	104.2437029	1.17071682	2	2	1	49	2	0	0
2	3	12	111.9936717	112.2436872	1.121673649	1	2	1	49	2	0	0
2	3	13	121.9936638	122.2436718	0.809493968	1	2	1	49	1	0	0
2	3	14	131.9936517	132.2436615	1.475157228	1	1	1	54	1	0	0
2	3	15	139.9936538	140.2436356	0.944120138	1	1	1	54	1	0	0
2	3	16	147.9936454	148.2436449	1.006844539	2	2	1	49	2	0	0
2	3	17	155.9936351	156.2436232	1.054607491	2	2	1	49	1	0	0
2	3	18	165.9936215	166.2436262	0.703588357	2	2	1	49	1	0	0
2	3	19	175.9935962	176.2436057	0.949331273	1	1	1	54	2	0	0
2	3	20	185.9936037	186.2435828	0.929213328	2	2	1	49	2	0	0
2	3	21	193.9935874	194.2435867	1.65301502	2	1	1	54	1	0	2
2	3	22	201.9935796	202.24358	0.819807264	2	1	1	54	1	0	0
2	3	23	211.9935621	212.2435677	0.767710403	2	1	1	54	1	0	0
2	3	24	219.9935437	220.2435595	0	2	2	0	0	1	0	0
2	3	25	227.9935274	228.2435384	0.762282225	2	1	1	54	1	0	0
2	3	26	237.9935201	238.243536	0.840072823	2	1	1	54	1	0	0
2	3	27	247.9935089	248.2435248	0	2	2	0	0	1	0	0
2	3	28	257.9935011	258.243497	0.911769926	2	1	1	54	1	0	0
2	3	29	265.9934999	266.2434955	0.903612869	1	1	1	54	2	0	0
2	3	30	273.9934966	274.2434756	1.25013418	1	2	0	54	1	0	0
2	3	31	283.9934803	284.243465	1.585251549	1	2	1	49	1	0	0
2	3	32	291.9934622	292.2434686	1.138113945	2	2	1	49	2	0	0
2	3	33	301.9934419	302.2434626	0.892818396	2	2	1	49	1	0	0
2	3	34	309.9934377	310.2434517	1.461654704	2	1	1	54	1	0	0
2	3	35	319.9934271	320.2434288	1.803313537	1	1	1	54	2	0	0
2	3	36	329.9934111	330.2434216	1.002266721	1	2	1	49	1	0	0
2	3	37	337.9934175	338.2434022	0	2	2	0	0	2	0	0
2	3	38	345.9934012	346.2434013	0	2	2	0	0	1	0	0
2	3	39	355.9933807	356.243395	1.478716545	1	1	1	54	2	0	0
2	3	40	365.9933719	366.243388	1.095656915	1	2	1	49	1	0	0
2	3	41	375.9933631	376.2433576	1.142426421	2	1	1	54	2	0	3
2	3	42	383.9933598	384.2433506	1.000111993	1	1	0	49	2	0	0
2	3	43	393.9933375	394.2433506	0.95101841	2	1	1	54	2	0	0
2	3	44	401.9933429	402.2433352	0	2	2	0	0	1	0	0
2	3	45	409.9933191	410.2433307	1.218788884	1	1	1	54	2	0	0
2	3	46	417.9933245	418.2433225	1.069600334	2	1	1	54	2	0	0
2	3	47	425.9933028	426.2433153	0	2	2	0	0	1	0	0
2	3	48	435.9933025	436.2432942	0	1	1	0	0	2	0	0
2	3	49	443.9932973	444.2432745	1.181032531	2	1	1	54	2	0	0
2	3	50	453.9932702	454.2432848	0	1	2	0	0	2	0	0
2	3	51	461.9932756	462.2432598	1.508687439	1	2	1	49	1	0	0
2	3	52	471.9932593	472.2432682	0.85544632	2	2	1	49	2	0	0
2	3	53	479.9932524	480.2432561	0.923298842	2	2	1	49	1	0	0
2	3	54	489.9932433	490.2432927	1.940111341	1	1	1	54	2	0	0
2	3	55	499.993233	500.2432169	1.329986531	2	1	1	54	2	0	0
2	3	56	509.9932077	510.243209	1.103616249	1	2	1	49	2	0	0
2	3	57	519.9932104	520.2432124	0.761552612	2	2	1	49	2	0	0
2	3	58	527.9931838	528.2432006	0	1	2	0	0	2	0	0
2	3	59	535.9931745	536.2431876	0	1	1	0	0	1	0	0
2	3	60	545.993173	546.2431629	1.001958817	2	2	1	49	2	0	0
2	4	1	13.99349385	14.24349099	0.951916163	1	1	1	54	2	2105147000	1
2	4	2	23.99349355	24.24347529	0.861601092	1	1	1	54	1	21	0
2	4	3	33.99346669	34.24348102	0.916504413	2	2	1	49	2	2	0
2	4	4	41.99345582	42.24346895	0.940349514	1	1	1	54	2	1	0
2	4	5	49.99344556	50.2434605	0	1	2	0	0	1	3	0
2	4	6	57.99344616	58.24344329	0.917946735	1	2	1	49	1	0	0
2	4	7	67.99343861	68.24342307	0.645745452	1	2	1	49	1	0	0
2	4	8	77.99341416	78.24343061	1.216358249	2	1	1	54	2	0	0
2	4	9	87.99341567	88.24339711	1.302416689	2	2	1	49	1	0	0
2	4	10	97.99340299	98.24340556	1.000097805	1	1	1	54	2	0	0
2	4	11	105.9933891	106.2433772	1.087949639	2	1	1	54	2	0	0
2	4	12	113.993365	114.2433787	0	2	1	0	0	1	0	0
2	4	13	121.9933695	122.2433705	0.963756304	1	2	1	49	2	0	0
2	4	14	129.9933471	130.2433615	0.922596699	2	2	1	49	2	0	0
2	4	15	139.9933474	140.2433349	0.966423905	1	2	1	49	2	0	0
